full_text,sentiment,clean_full_text,word_count,text_preprocessed
ponakannyaom Tuker aja Pak Mahfud Capres Pak Ganjar wakil saya pilih pak beneran dah GanjarBersih KuatkanKPK Hebat Ganjar Presidenku LanjutGan Bansos Rakyat,negatif, ponakannya om Tuker saja Pak Mahfud Capres Pak Ganjar wakil saya pilih pak benaran sudah GanjarBersih KuatkanKPK Hebat Ganjar Presidenku LanjutGan Bansos Rakyat ,23,ponakan om tukar mahfud capres ganjar wakil pilih benar ganjar bersih kuat kpk hebat ganjar presiden lanjut bansos rakyat
@hanumrais @gibran_tweet apaan SGIE....di kaiti ekonomi syariah ada juga SGIER,netral,   apaan SGIE....di kaiti ekonomi syariah ada juga SGIER ,8,sgie kaiti ekonomi syariah sgier
@winnithepoohhh @gibran_tweet ANJRIT GUE LG BGT NONTON INI GUE JG MIKIR GINI WKWKWKW BANGKEEEE LAH WKWKWK,netral,   ANJRIT GUE LG BGT NONTON INI GUE JG MIKIR GINI WKWKWKW BANGKEEEE LAH WKWKWK ,14,anjir tonton pikir ha bangke ha
@Fahrihamzah Mgkn iya Pak Prabowo tdk pnh nipu tapi pasangannya adl anak si tukang nganu .. ,netral,  Mgkn iya Pak Prabowo tidak pernah tipu tapi pasangannya adalah anak si tukang anu ..  ,15,iya prabowo tipu pasang anak si tukang anu
Zakir La Andjo : Cara Cerdas utk bebaskan Indonesia dari Cengkraman Oligarki yakni cukup Dukung &amp; Coblos Anies- Muhaimin pada Pilpres 14/02/2024 @aniesbaswedan @cakimiNOW https://t.co/SoNJBnRNf8,positif, Zakir La Andjo : Cara Cerdas untuk bebaskan Indonesia dari Cengkraman Oligarki yakni cukup Dukung &amp; Coblos Anies- Muhaimin pada Pilpres 14/02/2024    ,22,zakir andjo cerdas bas indonesia cengkeram oligarki dukung coblos anies muhaimin pilpres
Ganjar dan Mahfud membuktikan bahwa keberhasilan suatu negara diukur dari perlindungan yang diberikan kepada rakyatnya @pennanun VisiMisi GanjarMahfud https://t.co/Au6YHD3Y9B,netral, Ganjar dan Mahfud membuktikan bahwa keberhasilan suatu negara diukur dari perlindungan yang diberikan kepada rakyatnya  VisiMisi GanjarMahfud  ,17,ganjar mahfud bukti hasil negara ukur lindung rakyat visi misi ganjar memahfud
@tvOneNews Capres dia sendiri hasil koneksi ordal emangnya Gibran anak siapa ? dan ponakan siapa?,negatif,  Capres dia sendiri hasil koneksi ordal memangnya  Gibran anak siapa ? dan ponakan siapa? ,14,capres hasil koneksi ordal memang gibran anak ponakan
Debat Capres kali ini pilih siapa guys? No 1 - Anies Muhaimin No 2 - Prabowo Gibran No 3 - Ganjar Mahfud #DebatCapres #DebatCapres2023 #AniesMuhaimin #PrabowoGibran #GanjarMahfud #AniesMuhaimin2024 #PrabowoGibran2024 #GanjarMahfud2024 #Prabowo #Anies #Ganjar,positif, Debat Capres kali ini pilih siapa guys? No 1 - Anies Muhaimin No 2 - Prabowo Gibran No 3 - Ganjar Mahfud            ,22,debat capres kali pilih teman teman anies muhaimin prabowo gibran ganjar mahfud
Giliran Gibran nyerang Pak Mahfud sama Cak Imin dianggap ngga sopan karena mereka lebih tua. Tpi debat capres ke 2 kmrn Pak Ganjar Pak Anies nyerang Pak Prabowo yang umurnya lebih tua dan diberi nilai 5 11. dianggap biasa saja. #DebatCawapres #Diserangbalikkokngamuk,netral, Giliran Gibran serang Pak Mahfud sama Cak Imin dianggap tidak sopan karena mereka lebih tua. Tpi debat capres ke 2 kemarin Pak Ganjar Pak Anies serang Pak Prabowo yang umurnya lebih tua dan diberi nilai 5 11. dianggap biasa saja.   ,40,gilir gibran serang mahfud cak imin anggap sopan tua debat capres kemarin ganjar anies serang prabowo umur tua nilai anggap
@jawapos 01.Anies Punya aura kepemimpinan Amanah. Cerdas. Selalu merangkul semua golongan tanpa pandang bulu. Dan rekam jejak nya pun sangat memuaskan.,positif,  01.Anies Punya aura kepemimpinan Amanah. Cerdas. Selalu merangkul semua golongan tanpa pandang bulu. Dan rekam jejak nya pun sangat memuaskan. ,20,anies aura pimpin amanah cerdas rangkul golong pandang bulu rekam jejak nya muas
Terkesan dengan keseriusan Ganjar dan Mahfud nomor darurat 24 jam untuk kesehatan mental memberikan solusi cepat @MarzukiMurat VisiMisi GanjarMahfud https://t.co/XD1yTUW5yd,positif, Terkesan dengan keseriusan Ganjar dan Mahfud nomor darurat 24 jam untuk kesehatan mental memberikan solusi cepat  VisiMisi GanjarMahfud  ,18,kes serius ganjar mahfud nomor darurat jam sehat mental solusi cepat visi misi ganjar memahfud
@msaid_didu Ini tidak ada pengaruhnya atas persepsi mengenai si @gibran_tweet. Keculasan yang dimainkan oleh Gibran sprt bapaknya sudah diketahui oleh rakyat. Buah busuk tidak akan jatuh jauh dari pohonnya yang berulat.,netral,  Ini tidak ada pengaruhnya atas persepsi mengenai si . Keculasan yang dimainkan oleh Gibran seperti  bapaknya sudah diketahui oleh rakyat. Buah busuk tidak akan jatuh jauh dari pohonnya yang berulat. ,30,pengaruh persepsi si culas main gibran bapak rakyat buah busuk jatuh pohon ulat
Calon Presiden nomor urut 3 Ganjar Pranowo diundang warga untuk menikmati buah durian di Desa Wilayu Kecamatan Selomerto Kabupaten Wonosobo. Wargapun sudah menyambut Ganjar dan menampakkan ekspresi kebahagiaan dengan berebut salaman dan berfoto. #Ganjar #GanjarMahfud2024 https://t.co/k5o2Z1viDC,netral, Calon Presiden nomor urut 3 Ganjar Pranowo diundang warga untuk menikmati buah durian di Desa Wilayu Kecamatan Selomerto Kabupaten Wonosobo. Wargapun sudah menyambut Ganjar dan menampakkan ekspresi kebahagiaan dengan berebut salaman dan berfoto.    ,33,calon presiden nomor urut ganjar pranowo undang warga nikmat buah durian desa wilayu camat selomerto kabupaten wonosobo warga sambut ganjar nampak ekspresi bahagia rebut salam foto
@PutraErlangga95 Pak Anies Baswedan terbaik AMIN 01,positif,  Pak Anies Baswedan terbaik AMIN 01 ,6,anies baswedan baik amin
@mastedz68 @Dandhy_Laksono Pak anies dari segi posisi lebih gampang karna oposisi. Cak imin nih kaya masih ditengah² udh ngikut pak anies tapi masih segan sama rezim karna mereka pernah sekolam,positif,   Pak anies dari segi posisi lebih gampang karena oposisi. Cak imin nih mirip  masih ditengah tengah sudah ikut pak anies tapi masih segan sama rezim karena mereka pernah sekolah ,29,anies segi posisi gampang oposisi cak imin ini tengah anies segan rezim sekolah
@hanumrais @RusmanHari58109 @gibran_tweet Malah kayak kuis anak-anak. Benar kata pak Anies. Pemimpin itu lebih ke subtantif masalah. Semalam yang bagus Cak Imin dan Pak Mahfud.,positif,    Malah mirip  kuis anak-anak. Benar kata pak Anies. Pemimpin itu lebih ke substantif masalah. Semalam yang bagus Cak Imin dan Pak Mahfud. ,22,kuis anak anak anies pimpin substantif malam bagus cak imin mahfud
@umam_s8 @RcyberProj0 @jokowi @prabowo @Gerindra @gibran_tweet @budimuni98 @handoko2411 @Projo_Pusat @FALDA81 Gw zoom bersih meja nya gak ada tulang ayam tulang ikan berantakan. Dimana kotornya?,netral,           Gw memperbesar bersih meja nya tidak ada tulang ayam tulang ikan berantakan. Dimana kotornya? ,14,besar bersih meja nya tulang ayam tulang ikan beranta mana kotor
Paslon 1 Anies Baswedan - Muhaimin Iskandar malam ini menguasai panggung #DebatCapres dengan kecerdasan yang dimiliki Pak @aniesbaswedan https://t.co/4ydlGO7frQ,positif, Paslon 1 Anies Baswedan - Muhaimin Iskandar malam ini menguasai panggung  dengan kecerdasan yang dimiliki Pak   ,16,paslon anies baswedan muhaimin iskandar malam kuasa panggung cerdas milik
Mahfud MD tampil matang. Orang yang memang sudah sangat berpengalaman dalam merancang program kerja. Ia tampil dengan rasa2 birokrat yang khatam tentang hukum. Muhaimin : organisatoris aktivis politisi memang tumbuh di lingkungan yang budaya diskusi sangat kental. Terkesan,netral, Mahfud MD tampil matang. Orang yang memang sudah sangat berpengalaman dalam merancang program kerja. Ia tampil dengan rasa rasa birokrat yang khatam tentang hukum. Muhaimin : organisatoris aktivis politisi memang tumbuh di lingkungan yang budaya diskusi sangat kental. Terkesan ,39,mahfud md tampil matang orang halaman rancang program kerja tampil birokrat khatam hukum muhaimin organisatoris aktivis politisi tumbuh lingkung budaya diskusi kental kes
@republikaonline Kita tetap dukung Mas Gibran sampai kapanpun 02 menang mantap,positif,  Kita tetap dukung Mas Gibran sampai kapanpun 02 menang mantap ,10,dukung mas gibran menang mantap
Sebenarnya Gibran juga biasa saja. Tidak ada yang terlalu istimewa. Namun yang menjadikan terlihat luarbiasa karena publik terlanjur meremehkan. Sama seperti saya menilai Anies juga tidak istimewa dalam konteks debat wajar bisa kuasai panggung debat karena memang besar di,netral, Sebenarnya Gibran juga biasa saja. Tidak ada yang terlalu istimewa. Namun yang menjadikan terlihat luar biasa karena publik terlanjur meremehkan. Sama seperti saya menilai Anies juga tidak istimewa dalam konteks debat wajar bisa kuasai panggung debat karena memang besar di ,40,gibran istimewa jadi publik terlanjur remeh nilai anies istimewa konteks debat wajar kuasa panggung debat
@Dahnilanzar @prabowo @gibran_tweet Mentang2 curang sombong,netral,    Mentang2 curang sombong ,3,mentang mentang curang sombong
@liputan6dotcom Kalo Anies Baswedan gagal ya udah pilih aja Ganjar Pranowo. Tidak perlu banyak mikir https://t.co/GnujLd5KZj,netral,  Kalo Anies Baswedan gagal ya sudah pilih saja Ganjar Pranowo. Tidak perlu banyak pikir  ,14,anies baswedan gagal iya pilih ganjar pranowo pikir
@cakimiNOW Udah pak mundur aja jadi cawapresnya pak Anies sampean beban banget,netral,  Udah pak mundur saja jadi cawapresnya pak Anies sampean beban sekali  ,11,mundur cawapresnya anies sampean beban
Gerakan Muda Indonesia (GMI) mendeklarasikan dukungan untuk pasangan calon Anies Baswedan-Muhaimin Iskandar (AMIN) pada Pilpres 2024 karena menilai p... https://t.co/fqdVk6S7vv,netral, Gerakan Muda Indonesia (GMI) mendeklarasikan dukungan untuk pasangan calon Anies Baswedan-Muhaimin Iskandar (AMIN) pada Pilpres 2024 karena menilai p...  ,19,gerakan muda indonesia gmi deklarasi dukung pasang calon anies baswedan muhaimin iskandar amin pilpres nilai
@maman1965 Masih tetap Ganjar kita tunggu debat terakhir kayak apa para capres dan cawapres menyampaikan gagasannya dan visi dan misinya kalo masih begitu tetap Ganjar Mahfudz #pasTIGAnjar,positif,  Masih tetap Ganjar kita tunggu debat terakhir mirip  apa para capres dan cawapres menyampaikan gagasannya dan visi dan misinya kalau masih begitu tetap Ganjar Mahfudz  ,25,ganjar tunggu debat capres cawapres gagas visi misi ganjar mahfud
@cakimiNOW gw yakin gabakal diusut @bawaslu_RI juga ya kan. mimin @Gerindra screenshoot dulu mayan nih buat bukti cek juga mas @gibran_tweet dan pa @prabowo,netral,  saya yakin tidak bakal diusut  juga ya kan. admin  tangkapan layar dulu lumayan nih buat bukti cek juga mas  dan pak  ,21,usut iya admin tangkap layar lumayan ini bukti cek mas
@zainul_munas @aniesbaswedan Perubahan Presiden Baru Anis Muhaimin,netral,   Perubahan Presiden Baru Anis Muhaimin ,5,ubah presiden anies muhaimin
Kesehatan mental jadi prioritas utama dengan Ganjar-Mahfud mengukir jejak positif untuk masa depan Indonesia @liveasmyselff VisiMisi GanjarMahfud https://t.co/lKEKBybzRx,positif, Kesehatan mental jadi prioritas utama dengan Ganjar-Mahfud mengukir jejak positif untuk masa depan Indonesia  VisiMisi GanjarMahfud  ,16,sehat mental prioritas utama ganjar mahfud ukir jejak positif indonesia visi misi ganjar memahfud
Muhaimin Iskandar kebingungan saat ditanya perihal peringkat Indonesia di State of the Global Islamic Economy (SGIE) oleh Gibran Rakabuming Raka. #DebatCawapres #MuhaiminIskandar #GibranRakabumingRaka #Pemilu2024 #Pilpres2024 #BersatuKawalPemilu #BeritaSatu https://t.co/NxobeCxhi5,negatif, Muhaimin Iskandar kebingungan saat ditanya perihal peringkat Indonesia di State dari itu Global Islamic Economy (SGIE) oleh Gibran Rakabuming Raka.         ,20,muhaimin iskandar bingung perihal peringkat indonesia global islamik ekonomi sgie gibran rakabuming raka
Ganjar-Mahfud memperlihatkan bahwa keberagaman dan inklusivitas menjadi kekuatan dalam merancang kebijakan perdagangan. @windiwrdna Juara ! Sat Set https://t.co/CzvXfILggk,positif, Ganjar-Mahfud memperlihatkan bahwa keberagaman dan inklusivitas menjadi kekuatan dalam merancang kebijakan perdagangan.  Juara ! Sat Set  ,16,ganjar mahfud agam inklusivitas kuat rancang bija dagang juara sat set
@_Umamlik @mohmahfudmd M3nangkan Ganjar Mahfud bersama GAMA Indonesia menuju lebih majuu #Hukum3konomiMahfud #GanjarMahfud2024,positif,   M3nangkan Ganjar Mahfud bersama GAMA Indonesia menuju lebih maju   ,9,menang ganjar mahfud gama indonesia maju
Pak Anies aku padamu ️️️ #DebatCawapres,positif, Pak Anies saya padamu ️️️  ,5,anies pada
Tim Sobat Ijo AMIN Surabaya Jadi Tuan di Negeri Sendiri. Ketua Tim Sobat Ijo Surabaya Mahfudz menyebut pasangan Anies Baswedan - Muhaimin Iskandar (AMIN) memiliki keinginan kuat untuk https://t.co/uAWd1eQ4zH #PolitikPemerintahan #Amin #foodestate #ijo via @beritajatimcom,positif, Tim Sobat Ijo AMIN Surabaya Jadi Tuan di Negeri Sendiri. Ketua Tim Sobat Ijo Surabaya Mahfudz menyebut pasangan Anies Baswedan - Muhaimin Iskandar (AMIN) memiliki keinginan kuat untuk      via  ,29,tim sobat hijau amin surabaya tuan negeri ketua tim sobat hijau surabaya mahfud sebut pasang anies baswedan muhaimin iskandar amin milik kuat via
@CNNIndonesia No.2 pilihanku Prabowo Subianto dan Gibran Raka Buming Raka sebagai Presiden dan Wakil Presiden di 2024. Satu putaran,positif,  No.2 pilihanku Prabowo Subianto dan Gibran Raka Buming Raka sebagai Presiden dan Wakil Presiden di 2024. Satu putaran ,18,nomor pilih prabowo subianto gibran raka buming raka presiden wakil presiden putar
Pak Anies full senyum pak selamat ya!,positif, Pak Anies penuh senyum pak selamat ya! ,7,anies penuh senyum selamat iya
@Boediantar4 Tim cawapres bpk anies g kalah cerdasnya dgn bpk anies...pilihan tim2 sukses yg tepat dan pas,netral,  Tim cawapres bapak anies tidak kalah cerdasnya dengan  bapak anies...pilihan tim tim sukses yang tepat dan pas ,17,tim cawapres anies kalah cerdas anies pilih tim tim sukses pas
@Quenmedus4 @YepryR @gibran_tweet Guard gak milih Demokrat gua milih psi golar sama gerindra,netral,    Guard tidak pilih Demokrat saya pilih psi golkar sama gerindra ,10,jaga pilih demokrat pilih psi golkar gerindra
Ekspektasi ku Gibran yang bakal diuntungkan dari adanya kertas dan podium EH MALAH MUHAIMIN piye to gus,netral, Ekspektasi ku Gibran yang bakal diuntungkan dari adanya kertas dan podium EH MALAH MUHAIMIN bagaimana ke gus ,17,ekspektasi ku gibran untung kertas podium eh muhaimin gus
Ga segampang itu pa anies.. Tak segampang itu ku menemukan sosok seperti dirimu cinta,positif, Ga segampang itu pak anies.. Tak segampang itu ku menemukan sosok seperti dirimu cinta ,14,gampang anies gampang ku temu sosok diri cinta
tolol bgt ada vt paslon opening pake isyarat tanggepan beberapa pendukung gemoy itu anies minta jam tangan sama rakyat ,netral, bodoh sekali  ada video tiktok paslon pembukaan pakai isyarat tanggapan beberapa pendukung gemoi itu anies meminta jam tangan sama rakyat  ,20,bodoh video tiktok paslon buka pakai isyarat tanggap dukung gemoi anies jam tangan rakyat
@golkar_id @DavidVilla321 @gibran_tweet Nggak ada kata baper dalam kamus Gibran bergerak maju dan mempesona,positif,    Nggak ada kata bawa perasaan dalam kamus Gibran bergerak maju dan mempesona ,12,bawa asa kamus gibran gerak maju pesona
Ganjar Beri Kemenhan Nilai 5 Anies: Ketinggian Pak 11 dari 100 Wan Ngibul Kelebihan Bayar &amp; Den Boke Ekatepe terpapar Delusional krn frustasi akan tersungkur di putaran pertama. Pilpres 1 putaran tak terelakkan. #CapresPetugasPartai #CapresJongosKetum https://t.co/egcJwGoYNk,negatif, Ganjar Beri Kemenhan Nilai 5 Anies: Ketinggian Pak 11 dari 100 Wan Ngibul Kelebihan Bayar &amp; Den Boke Ekatepe terpapar Delusional karena  frustasi akan tersungkur di putaran pertama. Pilpres 1 putaran tidak terelakkan.    ,33,ganjar kemenhan nilai anies tinggi wan bohong lebih bayar den boke ekatepe papar delusional frustasi sungkur putar pilpres putar elak
@detikcom Pak Prabowo hanya memperhatikan rakyat kecil https://t.co/MqHK85rd0P,netral,  Pak Prabowo hanya memperhatikan rakyat kecil  ,6,prabowo perhati rakyat
 RstmBcl: Bersama Santri Kami Riang Gembira 2024 Ganjar Mahfud MD 🇲🇨 GanjarMahfud2024 Jauhi Dusta &amp; Emosional Ganjar Mahfud Hebat #Coblos3 #3GM #nazarpemilu #GanjarMahfudM3nangDebat https://t.co/XyToWPHLMC,positif,  RstmBcl: Bersama Santri Kami Riang Gembira 2024 Ganjar Mahfud MD 🇲🇨 GanjarMahfud2024 Jauhi Dusta &amp; Emosional Ganjar Mahfud Hebat      ,19,santri riang gembira ganjar mahfud md ganjar memahfud jauhi dusta emosional ganjar memahfud hebat
@KompasTV Semangat pak anies. Kalaupun nanti harus kalah kami gaka akan memilih nepotisme. Masih ada pak ganjar yang bisa melanjutkan visi misi ini. https://t.co/LCvewSws87,netral,  Semangat pak anies. Kalaupun nanti harus kalah kami tidak akan akan memilih nepotisme. Masih ada pak ganjar yang bisa melanjutkan visi misi ini.  ,23,semangat anies kalah pilih nepotisme ganjar lanjut visi misi
@DrTaufan1 Dengan adanya statement ini saya justru khawatir bahwa kelompok tertentu akan menggunakan segala cara untuk menggagalkan pak Anies apalagi kalo mereka kalah,positif,  Dengan adanya pernyataan ini saya justru khawatir bahwa kelompok tertentu akan menggunakan segala cara untuk menggagalkan pak Anies apalagi kalau mereka kalah ,22,nyata khawatir kelompok gagal anies kalah
Posisi pak Gibran serba salah sih ga mungkin beliau mengkritik kinerja presiden sekarang.,netral, Posisi pak Gibran serba salah sih tidak mungkin beliau mengkritik kinerja presiden sekarang. ,13,posisi gibran serba salah sih beliau kritik kinerja presiden
elektabilitas anies itu stagnan. anies masuk putaran 2 bukan karena suaranya naik. tp krn suara ganjar turun drastis kesedot prabowo. cakimin ga ngasi benefit apa2 malah jadi beban.,positif, elektabilitas anies itu stagnan. anies masuk putaran 2 bukan karena suaranya naik. tapi karena  suara ganjar turun drastis kesedot prabowo. cak imin tidak kasih  manfaat apa apa malah jadi beban. ,30,elektabilitas anies stagnan anies masuk putar suara suara ganjar turun drastis sedot prabowo cak imin kasih manfaat beban
@raye_brahm Membuat saya yakin bahwa dia hanya bisa menjawab pertanyaan yang sudah disiapkan dan sudah dilatih tetapi jika pertanyaan diluar tema atau yang benar-benar dadakan dan tidak diketahui oleh Gibran maka dia pasti akan keteteran,netral,  Membuat saya yakin bahwa dia hanya bisa menjawab pertanyaan yang sudah disiapkan dan sudah dilatih tetapi jika pertanyaan di luar tema atau yang benar benar dadakan dan tidak diketahui oleh Gibran maka dia pasti akan keteteran ,36,siap latih tema dada gibran keteter
@pisudesu @abdurarsyad Surya Paloh milih Muhaimin bukan krn ingin suara Jatim krn di survei NasDem kalah dg Demokrat yg pemilihnya beririsan.,netral,   Surya Paloh pilih Muhaimin bukan karena  ingin suara Jatim karena  di survei NasDem kalah dengan  Demokrat yang pemilihnya beririsan. ,19,surya paloh pilih muhaimin suara jatim survei nasdem kalah demokrat pilih iris
@icharis @aniesbaswedan Sangat sangat terbaik @aniesbaswedan dalam debat malam ini Insya Allah Anies Muhaimin bisa menjadi harapan kami sebagai Presiden 2024 - 2029.,netral,   Sangat sangat terbaik  dalam debat malam ini Insya Allah Anies Muhaimin bisa menjadi harapan kami sebagai Presiden 2024 - 2029. ,20,baik debat malam insya allah anies muhaimin harap presiden
@KompasTV Semangat pak Ganjar Mahfud ,netral,  Semangat pak Ganjar Mahfud  ,4,semangat ganjar mahfud
@ch_chotimah2 iya tenang kok nanti ganjar jadi menteri di kabinet prabowo-gibran,netral,  iya tenang kok nanti ganjar jadi menteri di kabinet prabowo-gibran ,10,iya tenang ganjar menteri kabinet prabowo gibran
@haidar_arash68 @GOYY25_25 @msaid_didu @prabowo Coba tanya setelah 2019..masih ada gak sarapannya.. ,netral,     Coba tanya setelah 2019..masih ada tidak sarapannya..  ,7,coba sarap
@erickthohir @prabowo @gibran_tweet Emang boleh ha Pak senyata itu mendukung paslon,netral,    Emang boleh ha Pak senyata itu mendukung paslon ,8,ha nyata dukung paslon
Anis Muhaimin presiden dan wakil presiden RI 2024 - 2029. #AMINAjaDulu,positif, Anis Muhaimin presiden dan wakil presiden RI 2024 - 2029.  ,10,anies muhaimin presiden wakil presiden ri
@hokbenku @johhancruyff14 @acbsurd @tirta_cipeng Balikpapan salah satu kota yg mau di upgrade sama anies khan yak ?,netral,     Balikpapan salah satu kota yang mau di meningkatkan sama anies kan  ya ? ,13,balikpapan salah kota tingkat anies iya
@syaiful35 @LalagraDilaga @kikysaputrii cerita nya Prabowo kena tendangan dewa mabuk Anies dan jatuh lanjut si GB teriak² ayoo bangun ayoo bangun ,netral,    cerita nya Prabowo kena tendangan dewa mabuk Anies dan jatuh lanjut si GB teriak teriak ayo bangun ayo bangun  ,19,cerita nya prabowo kena tendang dewa mabuk anies jatuh si gb teriak teriak ayo bangun ayo bangun
 Bagaimana cara membuat regulasi Carbon Capture and Storage kata Gibran ke Mahfud (Debat Cawapres Jumat 22 Desember 2023). Mas Walikota Solo ini menyampaikan hal yg cukup futuristik pd konteks negara RI saat ini. #ClimateCrisis #ClimateAction #ClimateActionNow,netral,  Bagaimana cara membuat regulasi Carbon Capture dan Storage kata Gibran ke Mahfud (Debat Cawapres Jumat 22 Desember 2023). Mas Walikota Solo ini menyampaikan hal yang cukup futuristik pada  konteks negara RI saat ini.    ,33,regulasi karbon tangkap penyimpanan gibran mahfud debat cawapres jumat desember mas walikota solo futuristik konteks negara ri
@IstanaJuang @c0mbra1n @erickthohir @prabowo @gibran_tweet Saya malah mikir dia datang sebagai ketua komisi wasit..,netral,      Saya malah pikir dia datang sebagai ketua komisi wasit.. ,9,pikir ketua komisi wasit
@UmarSyadatHsb__ SGIE itu final debat dengan di akhiri singkatan dan ngetes ke gua muhaimin apakah dia pintar atau dungu dalam berbahasa inggris. Ternyata yg keluar dungunya si Imin yg ga tau istilah SGIE.,negatif,  SGIE itu final debat dengan di akhiri singkatan dan tes ke saya muhaimin apakah dia pintar atau dungu dalam berbahasa inggris. Ternyata yang keluar dungunya si Imin yang tidak tahu istilah SGIE. ,32,sgie final debat singkat tes muhaimin pintar dungu bahasa inggris dungu si imin istilah sgie
Semoga Pak Anies konsisten dgn ucapannya. Ini tradisi baru di masyarakat tapi di civitas akademika hal yg lumrah,positif, Semoga Pak Anies konsisten dengan  ucapannya. Ini tradisi baru di masyarakat tapi di civitas akademika hal yang lumrah ,18,moga anies konsisten ucap tradisi masyarakat civitas akademika lumrah
Ini Desak Anies Nakes sama Perempuan belum ada rilis full nya ya?? Lama bgt Ya Allah ,netral, Ini Desak Anies Nakes sama Perempuan belum ada rilis penuh nya ya?? Lama sekali  Ya Allah  ,16,desak anies nakes perempuan rilis penuh nya iya iya allah
@ganjarpranowo @ArsjadRasjid @mohmahfudmd Keren pak ganjar sangat membantu perekonomian pelaku UMKM kita nih kualitasnnya juga ngga kalah keren lho,positif,    Keren pak ganjar sangat membantu perekonomian pelaku UMKM kita nih kualitasnya juga tidak kalah keren lo ,16,keren ganjar bantu ekonomi pelaku umkm ini kualitas kalah keren lo
@zainalarif1995 Kok mikirin elok? Gibran maju jd cawapres lewat Paman MK itu elok bukan? itu bukan gak elok lagi tapi sadis itu yg membuat rakyat Indonesia marah kalau masih punya akal sehat.,netral,  Kok memikirkan  elok? Gibran maju jadi cawapres lewat Paman MK itu elok bukan? itu bukan tidak elok lagi tapi sadis itu yang membuat rakyat Indonesia marah kalau masih punya akal sehat. ,31,pikir elok gibran maju cawapres paman elok elok sadis rakyat indonesia marah akal sehat
@danmarpas @gibran_tweet Apa lo sirik bersninya di twitter,netral,   Apa kamu sirik bersninya di twitter ,6,sirik bersninya twitter
@Samuder53291026 @prabowo @ListyoSigitP @PartaiGolkar @partaiprima @gibran_tweet @AgusYudhoyono @SBYudhoyono @ZUL_Hasan @Don_dasco PraGib Bismillah Menang Satu Putaran Rakyat Menanti nya untuk Indonesia Maju dan Toleransi dan Perdamaian,positif,           PraGib Bismillah Menang Satu Putaran Rakyat Menanti nya untuk Indonesia Maju dan Toleransi dan Perdamaian ,15,prabowo gibran bismillah menang putar rakyat nya indonesia maju toleransi damai
Dengan strategi yang adaptif Ganjar-Mahfud menjawab tantangan ekonomi global dengan solusi lokal yang cerdas. @winterbadassb Hebat ! Sat Set https://t.co/32jcRhQ9Qy,positif, Dengan strategi yang adaptif Ganjar-Mahfud menjawab tantangan ekonomi global dengan solusi lokal yang cerdas.  Hebat ! Sat Set  ,18,strategi adaptif ganjar mahfud tantang ekonomi global solusi lokal cerdas hebat sat set
@AnindiyaCindi @kurawa Yg disembah mah cukup Allah...cukup nilai Anies dgn gagasannya...makan gratis n susu ??wkwkwk anak kucingku tiap hari saya kasi makan gratis,positif,   Yg disembah mah cukup Allah...cukup nilai Anies dengan  gagasannya...makan gratis dan susu ??wkwkwk anak kucingku tiap hari saya kasih makan gratis ,21,sembah mah allah nilai anies gagas makan gratis susu ha anak kucing kasih makan gratis
Dukungan AMIN Terus Mengalir Kini Giliran Para Pensiunan Pos Indonesia Deklarasi Pemenangan Anies-Muhaimin. Perlu ada perubahan dlm mengelola Pos Indonesia di tengah berbagai perubahan yang terjadi saat ini. https://t.co/VRUWoY4SXN @IchromSaragih56 @STresnowati1 @Naz_lira https://t.co/SnNpWQOAaN,netral, Dukungan AMIN Terus Mengalir Kini Giliran Para Pensiunan Pos Indonesia Deklarasi Pemenangan Anies-Muhaimin. Perlu ada perubahan dalam  mengelola Pos Indonesia di tengah berbagai perubahan yang terjadi saat ini.      ,28,dukung amin alir gilir pensiun pos indonesia deklarasi menang anies muhaimin ubah kelola pos indonesia ubah
Lima belas simpul relawan Prabowo-Gibran Solo Raya berpindah dukungan ke pasangan Anies Muhaimin sebagai buntut kekecewaan relawan karena Prabowo dianggap mendukung oligarki. #AsalBukanPrabowo https://t.co/ENUjepPImy,netral, Lima belas simpul relawan Prabowo-Gibran Solo Raya berpindah dukungan ke pasangan Anies Muhaimin sebagai buntut kekecewaan relawan karena Prabowo dianggap mendukung oligarki.   ,22,belas simpul relawan prabowo gibran solo raya pindah dukung pasang anies muhaimin buntut kecewa relawan prabowo anggap dukung oligarki
Ganjar-Mahfud mendorong perubahan positif melalui perbaikan sistem pengelolaan keuangan pemerintah. @yoouriem Top ! Pasti Lebih Baik https://t.co/4P7pb9WFLP,positif, Ganjar-Mahfud mendorong perubahan positif melalui perbaikan sistem pengelolaan keuangan pemerintah.  Top ! Pasti Lebih Baik  ,15,ganjar mahfud dorong ubah positif perbaikan sistem kelola uang perin top
@fadlizon @prabowo @gibran_tweet Kekuasaan menghilang 1/2 kecerdasaan.rindu dengan kritik fadilzon di tahun 2014 -2019,netral,    Kekuasaan menghilang 1/2 kecerdasaan.rindu dengan kritik fadli zon di tahun 2014 -2019 ,12,kuasa hilang cerdas rindu kritik fadli zon
Kenapa anies ga sama mahfud aja sih at least mending jadinya. Ai skrg mah anjir ruksak kabeh,netral, Kenapa anies tidak sama mahfud saja sih pada paling sedikit mending jadinya. Ai sekarang mah anjir rusak semua ,18,anies mahfud sih mending ai mah anjir rusak
